apt_code,apt_sq,avg_price,top_avg_price,bottom_avg_price,recent_avg,recent_top,recent_bottom,trade_trend,price_trend
aYO6d,25,아파트의 평균 가격은 12억 3475만원입니다.,아파트의 상위 30% 층의 평균 가격은 12억 8500만원입니다.,아파트의 하위 30% 층의 평균 가격은 12억 3456만원입니다.,가장 최신의 거래 가격은 평균 가격보다 약 475 만원 낮습니다. 또한 가장 최신의 거래 가격은 평균 가격의 약 99.6%입니다.,가장 높은 가격은 1530000000입니다. 가장 높은 가격과 가장 최근 가격의 차이는 3억0 만원입니다. 가장 최근 가격과 가장 높은 가격의 비율은 대략 0.804입니다.,최저 가격은 9억3000 만원이고 가장 최신의 거래 가격은 12억3000 만원 입니다. 이는 최저 가격에 비해 약 1.32배 높습니다.,거래량은 감소하고 있습니다.,최근 가격의 방향성은 하락입니다. 이는 가장 최근의 가격이 이전 가격보다 낮기 때문입니다.
aYO6d,30,아파트의 평균 가격은 14억31 만원입니다.,아파트의 상위 30% 층의 평균 가격은 14억 5000만원입니다.,아파트의 하위 30% 층의 평균 가격은 14억 2000만원입니다.,최신 거래 가격은 평균 가격보다 약 4968 만원 더 높습니다. 이는 평균 가격 대비 약 1.035 또는 103.5%입니다.,최고 가격은 16억 6000만원이고 가장 최신의 거래 가격은 14억 5000만원입니다. 최신 거래 가격은 최고 가격에 비해 2억 1000만원 낮습니다. 또한 최신 거래 가격은 최고 가격의 약 87.3%입니다.,최소 가격은 11억 7000만원입니다. 가장 최근의 가격은 14억 5000만원으로 최소 가격보다 2억 8000만원 높습니다. 가장 최근의 가격은 최소 가격의 약 1.24배입니다.,최근 거래량의 방향성은 가격이 점차 낮아지고 있다는 것을 확인할 수 있다.,최근 가격은 상승했습니다. 이는 가장 최근의 가격이 1450000000이고 그 이전의 가격이 1400000000이었기 때문입니다. 그러나 그 이전의 가격이 1440000000이었으므로 가격은 변동성이 있습니다.
aYO6d,34,아파트의 평균 가격은 16억 1253만원입니다.,아파트의 상위 30% 층의 평균 가격은 약 16억 6166만원입니다.,아파트의 하위 30% 층의 평균 가격은 16억 1750만원입니다.,"가장 최근의 거래 가격은 평균 가격보다 약 4746 만원 더 높습니다. 또한, 가장 최근의 거래 가격은 평균 가격에 대해 약 1.03의 비율을 가지며, 이는 가장 최근의 거래 가격이 평균 가격보다 약 3% 더 높다는 것을 의미합니다.",최고 가격은 19억 0000만원입니다. 가장 최근의 거래 가격은 최고 가격보다 2억 4000만원 낮습니다. 가장 최근의 거래 가격은 최고 가격의 약 0.874입니다.,최저 가격은 12억 2500만원이고 가장 최신의 거래 가격은 16억 6000만원입니다. 이 두 가격의 차이는 4억 3500만원이며 최신 거래 가격은 최저 가격보다 약 1.355배 높습니다.,최근 거래량이 상승하는 것을 볼 수 있다.,"최근 가격의 방향성은 하락하는 것으로 보입니다. 20.07.04의 가격이 1590000000이었고, 이후로 가격이 1450000000으로 떨어졌다가 20.06.10에 1550000000으로 약간 상승했지만, 같은 날과 다음 날에 다시 1495000000과 1490000000으로 떨어졌기 때문입니다."
aYO6d,35,아파트의 평균 가격은 16억2003 만원입니다.,아파트의 상위 30% 층의 평균 가격은 약 16억 2천만 원입니다.,아파트의 하위 30% 층의 평균 가격은 대략 15억4106 만원입니다.,가장 최근의 거래 가격은 평균 가격보다 약 3003만원 낮습니다. 이는 평균 가격의 약 98.15%에 해당합니다.,최고 가격은 172000이며 가장 최신의 거래는 최고 가격보다 13000 낮습니다. 가장 최신의 거래와 최고 가격의 비율은 약 0.925입니다.,최저 가격은 128400.0만원이고 가장 최신의 거래와의 가격 차이는 30600.0만원이다. 추가로 가장 최신의 거래가 최저 가격보다 약 23.83% 높다.,최근 거래량이 증가하고 있음을 확인할 수 있다.,최근에 가격이 감소했습니다. 이는 가장 최근의 날짜에 대한 가격이 그 이전 날짜의 가격보다 낮기 때문입니다.
aAh37,18,아파트의 평균 가격은 11억814 만원입니다.,아파트의 상위 30% 층의 평균 가격은 약 11억3000 만원입니다.,아파트의 하위 30% 층의 평균 가격은 9억3000 만원입니다.,가장 최신의 거래 가격은 평균 가격보다 약 1억7814 만원 낮습니다. 가장 최신의 거래 가격은 평균 가격의 약 83.9%입니다.,최대 가격은 13억 5000 만원입니다. 가장 최근의 가격은 9억 3000 만원으로 이는 최대 가격보다 4억 2000 만원 낮습니다. 가장 최근의 가격과 최대 가격의 비율은 대략 0.69입니다.,최저 가격은 8억 8000만원이고 가장 최신의 거래의 가격은 9억 3000만원입니다. 이 두 가격의 차이는 5000만원이며 최신 거래의 가격은 최저 가격보다 약 1.057배 높습니다.,최근 거래량이 증가하고 있습니다. 날짜를 기준으로 내림차순 정렬해서 비교해보니 최근 거래량이 증가하고 있음을 확인할 수 있습니다.,"최근 가격의 방향성은 하락세입니다. 가장 최근의 가격들을 비교했을 때, 가격이 1270000000에서 1208000000으로 떨어졌다가 약간 상승하여 1210000000이 되었고, 다시 상승하여 1240000000이 되었지만, 마지막에는 1100000000으로 떨어졌습니다. 가격이 일정하게 변동하고 있지만, 전반적인 추세는 하락입니다."
aAh37,25,아파트의 평균 가격은 16억5326 만원입니다.,아파트의 상위 30% 층의 평균 가격은 17억 4천만 원입니다.,아파트의 하위 30% 층의 평균 가격은 약 16억1172 만원입니다.,가장 최근의 가격은 평균 가격보다 8673 만원 높습니다. 가장 최근의 가격과 평균 가격의 비율은 대략 1.05입니다.,최고 가격은 209000.0만원입니다. 가장 최근의 거래 가격은 최고 가격보다 35000.0만원 낮습니다. 가장 최근의 거래 가격은 최고 가격에 대해 대략 0.83의 비율입니다.,최저 가격은 12억6500 만원이고 가장 최신의 거래 가격은 17억4000 만원입니다. 이는 최저 가격에 비해 약 1.3754940711462451배 높습니다.,최근 거래량은 상승하고 있습니다. 이는 가격의 변화를 통해 확인할 수 있었습니다.,최근에 가격이 상승했습니다. 이는 가장 최근의 행 (행 0)의 가격이 그 다음으로 최근의 행 (행 1)의 가격보다 높기 때문입니다.
aAh37,32,아파트의 평균 가격은 19억5161 만원입니다.,아파트의 상위 30% 층의 평균 가격은 20억7000 만원입니다.,아파트의 하위 30% 층의 평균 가격은 대략 19억6794 만원입니다.,가장 최신의 거래 가격은 평균 가격보다 약 4838 만원 높습니다. 가장 최신의 거래 가격은 평균 가격의 약 1.025배입니다.,가장 최근의 거래 가격은 최고 가격보다 3억 7000 만원 낮습니다. 비율은 대략 0.185로 이는 가장 최근의 가격이 최고 가격보다 약 18.5% 낮다는 것을 의미합니다.,가장 최근의 거래 가격은 최저 가격보다 4억2000 만원 높고 비율은 대략 1.27입니다.,최근 거래량의 방향성은 가격이 증가하고 있다는 것을 알 수 있다.,최근 가격의 방향성은 하향입니다. 이는 최근 가격(2000000000)이 과거 가격(1870000000)보다 높기 때문입니다.
aAh37,33,아파트의 평균 가격은 19억6555 만원입니다.,아파트의 상위 30% 층의 평균 가격은 대략 19억9412 만원입니다.,아파트의 하위 30% 층의 평균 가격은 약 19억4386 만원입니다.,가장 최신의 거래 가격은 평균 가격보다 약 1억2944 만원 높습니다. 가장 최신 거래 가격과 평균 가격의 비율은 약 1.07입니다.,최고 가격에 비해 가장 최신의 거래의 가격은 2억8500 만원 낮고 이는 최고 가격의 약 11.97%에 해당합니다.,최저 가격은 15억3000 만원입니다. 가장 최신의 거래 가격은 20억9500 만원으로 최저 가격보다 1.369281045751634배 높습니다.,최근 거래량의 방향성은 가격이 상승하고 있는 것으로 보입니다,최근 가격은 약간 상승한 추세를 보이고 있습니다. 이는 최근 데이터(하위 행)의 평균 가격이 1998000000.0인 반면 이전 데이터(상위 행)의 평균 가격이 1985000000.0이기 때문입니다.
aAh37,38,아파트의 평균 가격은 22억1155 만원입니다.,아파트의 상위 30% 층의 평균 가격은 22억9500 만원입니다.,아파트의 하위 30% 층의 평균 가격은 22억9000 만원입니다.,"가장 최신의 거래 가격은 평균 가격보다 약 1억844 만원 더 높으며, 평균 가격 대비 약 4.9% 더 높습니다.",최대 가격은 23억2000 만원입니다. 가장 최근의 거래는 최대 가격보다 2억500 만원 낮습니다. 가장 최근 가격과 최대 가격의 비율은 대략 0.919입니다.,최소 가격은 19억5000 만원입니다. 가장 최근의 가격은 23억2000 만원으로 최소 가격보다 3억7000 만원 높습니다. 가장 최근의 가격은 최소 가격의 약 1.19배입니다.,"최근 거래량은 점차 감소하고 있으며, 날짜를 기준으로 내림차순 정렬해 보니 그 방향성을 확인할 수 있었다.",최근 가격은 증가하는 추세입니다. 이는 가장 최신의 가격이 이전 가격들보다 높기 때문에 이런 결론을 내릴 수 있습니다.
aAh37,42,아파트의 평균 가격은 25억1277 만원입니다.,상위 30% 층의 아파트 평균 가격은 약 24억 9천만 원입니다.,아파트의 하위 30% 층의 평균 가격은 24억8천만 원입니다.,"가장 최근의 거래 가격은 평균 가격보다 약 1억723 만원 높습니다. 또한 가장 최근의 가격은 평균 가격에 비해 약 1.04, 즉 평균 가격보다 약 4% 높습니다.",가장 높은 가격은 29억1000 만원입니다. 가장 최근의 거래 가격은 26억2000 만원으로 가장 높은 가격보다 2억9000 만원 낮습니다. 가장 최근의 거래 가격은 가장 높은 가격의 약 0.9배입니다.,최저 가격은 19억470 만원이고 최신 거래의 가격은 26억2000 만원입니다. 최신 거래의 가격은 최저 가격보다 약 1.376배 높습니다.,최근 거래량이 증가하고 있다. 날짜를 기준으로 거래량을 비교해보니 최근 거래량이 증가하고 있음을 확인할 수 있다.,"우리가 보고 있는 부분집합에서 가장 최근의 가격이 가장 오래된 가격보다 높기 때문에 최근의 가격 추세는 다소 상승하는 것으로 보인다. 다만 가격이 등락을 거듭하고 있어 뚜렷한 추세를 판단하기는 어렵다."
9YO50,24,아파트의 평균 가격은 14억1546 만원입니다.,아파트의 상위 30% 층의 평균 가격은 14억4350 만원입니다.,아파트의 하위 30% 층의 평균 가격은 대략 13억 8천 4백 70만 3천 7백 4원입니다.,"가장 최근의 가격은 평균 가격보다 약 1억1546 만원 낮습니다. 가장 최근의 가격은 평균 가격의 약 0.918, 즉 91.8%입니다.",최대 가격은 17억0 만원입니다. 가장 최근의 거래 가격은 13억0 만원으로 최대 가격보다 4억0 만원 낮습니다. 가장 최근의 거래 가격과 최대 가격의 비율은 대략 0.765입니다.,최저 가격은 110000.0 만원이고 가장 최신의 거래는 최저 가격보다 20000.0 만원 높습니다. 또한 가장 최신의 거래 가격은 최저 가격의 약 1.18배입니다.,최근 거래량이 상승하고 있음을 확인할 수 있다.,최근 가격은 하락하고 있습니다. 이는 가장 최근의 데이터(첫 번째 행)에서 가격이 이전 데이터(마지막 행)보다 낮기 때문입니다.
9YO50,34,아파트의 평균 가격은 17억2366 만원입니다.,아파트의 상위 30% 층의 평균 가격은 17억5350 만원입니다.,아파트의 하위 30% 층의 평균 가격은 18억0 만원입니다.,"가장 최신의 거래 가격은 평균 가격보다 약 7633 만원 더 높고, 평균 가격에 대한 비율은 약 1.044입니다. 이는 가장 최신의 거래 가격이 평균 가격보다 약 4.4% 더 높다는 것을 의미합니다.",가장 높은 가격은 19억4500 만원입니다. 가장 최근 거래의 가격은 가장 높은 가격보다 1억4500 만원 낮습니다. 가장 최근 거래의 가격과 가장 높은 가격의 비율은 대략 0.925입니다.,최저 가격은 13억9800 만원입니다. 가장 최신의 거래 가격은 18억0 만원으로 최저 가격에 비해 약 1.29배 높습니다.,최근 거래량이 증가하고 있습니다. 1945000000이 최고 거래량입니다.,"최근 가격의 방향성은 하락세로 보입니다. 처음 가격은 1800000000이었고, 가장 최근의 가격은 1690000000으로, 약간의 하락이 있었습니다. 이를 통해 최근 가격의 방향성을 판단했습니다."
1Hq6f,26,아파트의 평균 가격은 24억7539 만원입니다.,아파트의 상위 30% 층의 평균 가격은 26억9000 만원입니다.,아파트의 하위 30% 층의 평균 가격은 22억5000 만원입니다.,"가장 최근의 거래 가격은 평균 가격보다 약 7960 만원 더 높으며, 평균 가격에 대한 비율은 약 1.03입니다. 이는 가장 최근의 가격이 평균 가격보다 약 3.2% 더 높다는 것을 의미합니다.",가장 높은 가격은 30억0 만원입니다. 가장 최근의 거래는 가장 높은 가격보다 4억4500 만원 낮습니다. 가장 최근의 거래는 가장 높은 가격에 대해 약 0.85의 비율입니다.,최저 가격은 21억3700 만원이고 가장 최신의 거래 가격은 25억5500 만원입니다. 최신 거래 가격은 최저 가격보다 약 1.196배 높습니다.,최근 거래량은 최대값 3000000000에서 최소값 2137000000으로 감소하는 방향성을 보인다.,최근 가격은 증가하고 있습니다. 이는 최신 데이터의 가격이 가장 오래된 데이터의 가격보다 높기 때문입니다.
